,payment method,categoria Horeca,metodo Pagamento,venduto,citta,macroregione,regione,provincia,data,transazione media,Profitto
821,buono pasto,Pasticceria,paypal,508168,Redavalle,Nord-ovest,Lombardia,Pavia,2021-04-01,32,154438
822,maestro,Hotel,buono pasto,705470,Redavalle,Nord-ovest,Lombardia,Pavia,2021-04-02,97,62400
823,mastercard,Ristorante,visa,534645,Redavalle,Nord-ovest,Lombardia,Pavia,2021-04-03,95,143010
824,bancomat,Stabilimento Balneare,visa,445024,Redavalle,Nord-ovest,Lombardia,Pavia,2021-04-04,7,24549
825,carta fedelta,Enoteca,carta fedelta,287066,Redavalle,Nord-ovest,Lombardia,Pavia,2021-04-05,49,31724
826,visa,Hotel,postepay,703884,Redavalle,Nord-ovest,Lombardia,Pavia,2021-04-06,61,149145
827,postepay,Stabilimento Balneare,mastercard,831354,Redavalle,Nord-ovest,Lombardia,Pavia,2021-04-07,29,352829
828,paypal,Hotel,bancomat,677552,Redavalle,Nord-ovest,Lombardia,Pavia,2021-04-08,65,246031
829,satispay,Pizzeria,postepay,947771,Redavalle,Nord-ovest,Lombardia,Pavia,2021-04-09,45,309327
830,contante,Bar,bancomat,169385,Rovescala,Nord-ovest,Lombardia,Pavia,2021-04-10,99,38971
831,buono pasto,Ristorante,maestro,398241,Rovescala,Nord-ovest,Lombardia,Pavia,2021-04-11,3,143864
832,maestro,Pizzeria,paypal,399022,Rovescala,Nord-ovest,Lombardia,Pavia,2021-04-12,94,79226
833,mastercard,Bar,postepay,952760,Rovescala,Nord-ovest,Lombardia,Pavia,2021-04-13,88,359844
834,bancomat,Pizzeria,buono pasto,752644,Rovescala,Nord-ovest,Lombardia,Pavia,2021-04-14,54,224418
835,carta fedelta,Pasticceria,satispay,963604,Rovescala,Nord-ovest,Lombardia,Pavia,2021-04-15,27,37814
836,visa,Pasticceria,maestro,611236,Rovescala,Nord-ovest,Lombardia,Pavia,2021-04-16,3,30639
837,postepay,Pizzeria,buono pasto,134169,Rovescala,Nord-ovest,Lombardia,Pavia,2021-04-17,53,62478
838,paypal,Pasticceria,contante,157090,Rovescala,Nord-ovest,Lombardia,Pavia,2021-04-18,42,21549
839,satispay,Bar,postepay,798017,Rovescala,Nord-ovest,Lombardia,Pavia,2021-04-19,77,142190
840,contante,Ristorante,contante,325304,Torre de' Negri,Nord-ovest,Lombardia,Pavia,2021-04-20,32,64399
841,buono pasto,Ristorante,paypal,547981,Torre de' Negri,Nord-ovest,Lombardia,Pavia,2021-04-21,17,44702
842,maestro,Enoteca,buono pasto,395011,Torre de' Negri,Nord-ovest,Lombardia,Pavia,2021-04-22,37,64361
843,mastercard,Hotel,satispay,989231,Torre de' Negri,Nord-ovest,Lombardia,Pavia,2021-04-23,83,201460
844,bancomat,Hotel,bancomat,215880,Torre de' Negri,Nord-ovest,Lombardia,Pavia,2021-04-24,28,94911
845,carta fedelta,Hotel,buono pasto,84972,Torre de' Negri,Nord-ovest,Lombardia,Pavia,2021-04-25,79,4328
846,visa,Stabilimento Balneare,satispay,226328,Torre de' Negri,Nord-ovest,Lombardia,Pavia,2021-04-26,78,53765
847,postepay,Enoteca,visa,599669,Torre de' Negri,Nord-ovest,Lombardia,Pavia,2021-04-27,59,58618
848,paypal,Hotel,maestro,356674,Torre de' Negri,Nord-ovest,Lombardia,Pavia,2021-04-28,47,48040
849,satispay,Stabilimento Balneare,paypal,692209,Torre de' Negri,Nord-ovest,Lombardia,Pavia,2021-04-29,77,105541
850,contante,Pizzeria,buono pasto,509457,Zerbo,Nord-ovest,Lombardia,Pavia,2021-04-30,4,11129
851,buono pasto,Stabilimento Balneare,carta fedelta,634363,Zerbo,Nord-ovest,Lombardia,Pavia,2021-05-01,94,129350
852,maestro,Bar,buono pasto,396845,Zerbo,Nord-ovest,Lombardia,Pavia,2021-05-02,38,73655
853,mastercard,Pizzeria,maestro,249944,Zerbo,Nord-ovest,Lombardia,Pavia,2021-05-03,43,107708
854,bancomat,Stabilimento Balneare,bancomat,528055,Zerbo,Nord-ovest,Lombardia,Pavia,2021-05-04,68,69521
855,carta fedelta,Stabilimento Balneare,buono pasto,1272,Zerbo,Nord-ovest,Lombardia,Pavia,2021-05-05,51,11
856,visa,Pizzeria,bancomat,883671,Zerbo,Nord-ovest,Lombardia,Pavia,2021-05-06,84,240390
857,postepay,Bar,bancomat,874001,Zerbo,Nord-ovest,Lombardia,Pavia,2021-05-07,93,228191
858,paypal,Hotel,carta fedelta,724390,Zerbo,Nord-ovest,Lombardia,Pavia,2021-05-08,69,350299
859,satispay,Stabilimento Balneare,satispay,882814,Zerbo,Nord-ovest,Lombardia,Pavia,2021-05-09,40,87545
860,contante,Bar,paypal,948683,Capergnanica,Nord-ovest,Lombardia,Cremona,2021-05-10,82,351656
861,buono pasto,Bar,carta fedelta,535075,Capergnanica,Nord-ovest,Lombardia,Cremona,2021-05-11,59,194759
862,maestro,Enoteca,maestro,135190,Capergnanica,Nord-ovest,Lombardia,Cremona,2021-05-12,49,7492
863,mastercard,Enoteca,visa,114861,Capergnanica,Nord-ovest,Lombardia,Cremona,2021-05-13,47,54267
864,bancomat,Enoteca,satispay,815068,Capergnanica,Nord-ovest,Lombardia,Cremona,2021-05-14,75,189293
865,carta fedelta,Pasticceria,mastercard,611356,Capergnanica,Nord-ovest,Lombardia,Cremona,2021-05-15,86,83851
866,visa,Bar,postepay,235566,Capergnanica,Nord-ovest,Lombardia,Cremona,2021-05-16,27,42041
867,postepay,Pizzeria,satispay,59969,Capergnanica,Nord-ovest,Lombardia,Cremona,2021-05-17,15,22312
868,paypal,Pizzeria,bancomat,218205,Capergnanica,Nord-ovest,Lombardia,Cremona,2021-05-18,66,5928
869,satispay,Stabilimento Balneare,paypal,137276,Capergnanica,Nord-ovest,Lombardia,Cremona,2021-05-19,33,11448
870,contante,Ristorante,bancomat,172219,Crema,Nord-ovest,Lombardia,Cremona,2021-05-20,70,73391
871,buono pasto,Hotel,contante,696355,Crema,Nord-ovest,Lombardia,Cremona,2021-05-21,7,64380
872,maestro,Pizzeria,buono pasto,499556,Crema,Nord-ovest,Lombardia,Cremona,2021-05-22,49,200220
873,mastercard,Bar,mastercard,756949,Crema,Nord-ovest,Lombardia,Cremona,2021-05-23,65,110010
874,bancomat,Stabilimento Balneare,postepay,588054,Crema,Nord-ovest,Lombardia,Cremona,2021-05-24,32,136068
875,carta fedelta,Bar,satispay,143187,Crema,Nord-ovest,Lombardia,Cremona,2021-05-25,91,25518
876,visa,Ristorante,satispay,598279,Crema,Nord-ovest,Lombardia,Cremona,2021-05-26,3,242438
877,postepay,Bar,contante,851171,Crema,Nord-ovest,Lombardia,Cremona,2021-05-27,63,6389
878,paypal,Bar,carta fedelta,133938,Crema,Nord-ovest,Lombardia,Cremona,2021-05-28,16,37399
879,satispay,Ristorante,mastercard,999965,Crema,Nord-ovest,Lombardia,Cremona,2021-05-29,91,381376
880,contante,Hotel,buono pasto,665664,Derovere,Nord-ovest,Lombardia,Cremona,2021-05-30,73,307766
881,buono pasto,Enoteca,visa,877191,Derovere,Nord-ovest,Lombardia,Cremona,2021-05-31,38,158061
882,maestro,Ristorante,paypal,664760,Derovere,Nord-ovest,Lombardia,Cremona,2021-06-01,93,36820
883,mastercard,Pasticceria,maestro,578357,Derovere,Nord-ovest,Lombardia,Cremona,2021-06-02,21,116822
884,bancomat,Pizzeria,maestro,443446,Derovere,Nord-ovest,Lombardia,Cremona,2021-06-03,78,152455
885,carta fedelta,Ristorante,mastercard,522837,Derovere,Nord-ovest,Lombardia,Cremona,2021-06-04,74,159242
886,visa,Enoteca,bancomat,338025,Derovere,Nord-ovest,Lombardia,Cremona,2021-06-05,71,8017
887,postepay,Hotel,visa,620817,Derovere,Nord-ovest,Lombardia,Cremona,2021-06-06,94,250128
888,paypal,Pasticceria,satispay,977606,Derovere,Nord-ovest,Lombardia,Cremona,2021-06-07,16,371659
889,satispay,Pasticceria,paypal,466399,Derovere,Nord-ovest,Lombardia,Cremona,2021-06-08,60,13719
890,contante,Pizzeria,buono pasto,559616,Gombito,Nord-ovest,Lombardia,Cremona,2021-06-09,81,77877
891,buono pasto,Enoteca,mastercard,744235,Gombito,Nord-ovest,Lombardia,Cremona,2021-06-10,28,120612
892,maestro,Ristorante,maestro,406036,Gombito,Nord-ovest,Lombardia,Cremona,2021-06-11,70,189
893,mastercard,Hotel,paypal,43443,Gombito,Nord-ovest,Lombardia,Cremona,2021-06-12,62,20124
894,bancomat,Pasticceria,carta fedelta,652603,Gombito,Nord-ovest,Lombardia,Cremona,2021-06-13,57,236067
895,carta fedelta,Ristorante,maestro,222584,Gombito,Nord-ovest,Lombardia,Cremona,2021-06-14,56,95164
896,visa,Stabilimento Balneare,paypal,897770,Gombito,Nord-ovest,Lombardia,Cremona,2021-06-15,50,92857
897,postepay,Ristorante,visa,49554,Gombito,Nord-ovest,Lombardia,Cremona,2021-06-16,66,7772
898,paypal,Hotel,maestro,832086,Gombito,Nord-ovest,Lombardia,Cremona,2021-06-17,69,395858
899,satispay,Hotel,visa,751899,Gombito,Nord-ovest,Lombardia,Cremona,2021-06-18,21,175742
900,contante,Pasticceria,satispay,348193,Monte Cremasco,Nord-ovest,Lombardia,Cremona,2021-06-19,52,124507
901,buono pasto,Stabilimento Balneare,buono pasto,415634,Monte Cremasco,Nord-ovest,Lombardia,Cremona,2021-06-20,8,82037
902,maestro,Ristorante,visa,494968,Monte Cremasco,Nord-ovest,Lombardia,Cremona,2021-06-21,2,169482
903,mastercard,Enoteca,carta fedelta,649640,Monte Cremasco,Nord-ovest,Lombardia,Cremona,2021-06-22,39,174105
904,bancomat,Stabilimento Balneare,mastercard,971170,Monte Cremasco,Nord-ovest,Lombardia,Cremona,2021-06-23,58,427067
905,carta fedelta,Pasticceria,contante,972978,Monte Cremasco,Nord-ovest,Lombardia,Cremona,2021-06-24,97,347794
906,visa,Enoteca,mastercard,975406,Monte Cremasco,Nord-ovest,Lombardia,Cremona,2021-06-25,68,149088
907,postepay,Enoteca,maestro,980251,Monte Cremasco,Nord-ovest,Lombardia,Cremona,2021-06-26,60,25520
908,paypal,Pizzeria,visa,275407,Monte Cremasco,Nord-ovest,Lombardia,Cremona,2021-06-27,43,112093
909,satispay,Pizzeria,postepay,387314,Monte Cremasco,Nord-ovest,Lombardia,Cremona,2021-06-28,9,159562
910,contante,Stabilimento Balneare,buono pasto,514904,Olmeneta,Nord-ovest,Lombardia,Cremona,2021-06-29,43,86798
911,buono pasto,Stabilimento Balneare,satispay,505727,Olmeneta,Nord-ovest,Lombardia,Cremona,2021-06-30,25,57709
912,maestro,Pasticceria,bancomat,330316,Olmeneta,Nord-ovest,Lombardia,Cremona,2021-07-01,60,100789
913,mastercard,Stabilimento Balneare,mastercard,424021,Olmeneta,Nord-ovest,Lombardia,Cremona,2021-07-02,42,101493
914,bancomat,Pasticceria,buono pasto,884452,Olmeneta,Nord-ovest,Lombardia,Cremona,2021-07-03,76,22441
915,carta fedelta,Ristorante,satispay,934304,Olmeneta,Nord-ovest,Lombardia,Cremona,2021-07-04,85,224428
916,visa,Pizzeria,paypal,258559,Olmeneta,Nord-ovest,Lombardia,Cremona,2021-07-05,62,54884
917,postepay,Stabilimento Balneare,satispay,871355,Olmeneta,Nord-ovest,Lombardia,Cremona,2021-07-06,94,102929
918,paypal,Stabilimento Balneare,bancomat,693225,Olmeneta,Nord-ovest,Lombardia,Cremona,2021-07-07,36,244980
919,satispay,Ristorante,buono pasto,788,Olmeneta,Nord-ovest,Lombardia,Cremona,2021-07-08,42,122
920,contante,Pizzeria,maestro,706234,Stagno Lombardo,Nord-ovest,Lombardia,Cremona,2021-07-09,39,118192
921,buono pasto,Hotel,postepay,395250,Stagno Lombardo,Nord-ovest,Lombardia,Cremona,2021-07-10,6,24986
922,maestro,Bar,bancomat,711463,Stagno Lombardo,Nord-ovest,Lombardia,Cremona,2021-07-11,20,258168
923,mastercard,Pizzeria,carta fedelta,423995,Stagno Lombardo,Nord-ovest,Lombardia,Cremona,2021-07-12,2,176302
924,bancomat,Pasticceria,satispay,292389,Stagno Lombardo,Nord-ovest,Lombardia,Cremona,2021-07-13,96,142769
925,carta fedelta,Hotel,bancomat,641112,Stagno Lombardo,Nord-ovest,Lombardia,Cremona,2021-07-14,86,115577
926,visa,Pizzeria,satispay,960888,Stagno Lombardo,Nord-ovest,Lombardia,Cremona,2021-07-15,73,143160
927,postepay,Pasticceria,postepay,517421,Stagno Lombardo,Nord-ovest,Lombardia,Cremona,2021-07-16,92,32081
928,paypal,Stabilimento Balneare,satispay,477146,Stagno Lombardo,Nord-ovest,Lombardia,Cremona,2021-07-17,17,139617
929,satispay,Enoteca,paypal,386155,Stagno Lombardo,Nord-ovest,Lombardia,Cremona,2021-07-18,95,20298
930,contante,Pizzeria,bancomat,781765,Vescovato,Nord-ovest,Lombardia,Cremona,2021-07-19,87,91059
931,buono pasto,Hotel,paypal,212805,Vescovato,Nord-ovest,Lombardia,Cremona,2021-07-20,6,73316
932,maestro,Enoteca,contante,629515,Vescovato,Nord-ovest,Lombardia,Cremona,2021-07-21,64,122888
933,mastercard,Pizzeria,mastercard,663070,Vescovato,Nord-ovest,Lombardia,Cremona,2021-07-22,20,271423
934,bancomat,Enoteca,satispay,31581,Vescovato,Nord-ovest,Lombardia,Cremona,2021-07-23,8,9455
935,carta fedelta,Pasticceria,carta fedelta,689781,Vescovato,Nord-ovest,Lombardia,Cremona,2021-07-24,37,343041
936,visa,Ristorante,contante,537470,Vescovato,Nord-ovest,Lombardia,Cremona,2021-07-25,48,120761
937,postepay,Stabilimento Balneare,postepay,756777,Vescovato,Nord-ovest,Lombardia,Cremona,2021-07-26,26,250693
938,paypal,Enoteca,visa,759918,Vescovato,Nord-ovest,Lombardia,Cremona,2021-07-27,98,359375
939,satispay,Stabilimento Balneare,buono pasto,266253,Vescovato,Nord-ovest,Lombardia,Cremona,2021-07-28,63,9602
940,contante,Enoteca,visa,325537,Bozzolo,Nord-ovest,Lombardia,Cremona,2021-07-29,28,20753
941,buono pasto,Pizzeria,contante,35980,Bozzolo,Nord-ovest,Lombardia,Cremona,2021-07-30,14,14847
942,maestro,Bar,mastercard,527805,Bozzolo,Nord-ovest,Lombardia,Cremona,2021-07-31,94,140389
943,mastercard,Stabilimento Balneare,postepay,872973,Bozzolo,Nord-ovest,Lombardia,Cremona,2021-08-01,86,10723
944,bancomat,Bar,bancomat,402324,Bozzolo,Nord-ovest,Lombardia,Cremona,2021-08-02,65,168930
945,carta fedelta,Pasticceria,visa,728901,Bozzolo,Nord-ovest,Lombardia,Cremona,2021-08-03,35,78009
946,visa,Hotel,carta fedelta,911427,Bozzolo,Nord-ovest,Lombardia,Cremona,2021-08-04,73,239744
947,postepay,Pasticceria,mastercard,581796,Bozzolo,Nord-ovest,Lombardia,Cremona,2021-08-05,64,168283
948,paypal,Ristorante,buono pasto,695735,Bozzolo,Nord-ovest,Lombardia,Cremona,2021-08-06,37,83436
949,satispay,Hotel,paypal,31559,Bozzolo,Nord-ovest,Lombardia,Cremona,2021-08-07,85,3631
950,contante,Enoteca,mastercard,118187,Casalromano,Nord-ovest,Lombardia,Mantova,2021-08-08,98,3541
951,buono pasto,Hotel,satispay,929187,Casalromano,Nord-ovest,Lombardia,Mantova,2021-08-09,44,20527
952,maestro,Ristorante,contante,690347,Casalromano,Nord-ovest,Lombardia,Mantova,2021-08-10,57,109782
953,mastercard,Pasticceria,bancomat,328841,Casalromano,Nord-ovest,Lombardia,Mantova,2021-08-11,76,24802
954,bancomat,Bar,visa,63620,Casalromano,Nord-ovest,Lombardia,Mantova,2021-08-12,81,18682
955,carta fedelta,Pizzeria,contante,420450,Casalromano,Nord-ovest,Lombardia,Mantova,2021-08-13,7,174277
956,visa,Enoteca,satispay,260957,Casalromano,Nord-ovest,Lombardia,Mantova,2021-08-14,49,45643
957,postepay,Pasticceria,contante,778550,Casalromano,Nord-ovest,Lombardia,Mantova,2021-08-15,32,302189
958,paypal,Stabilimento Balneare,contante,515859,Casalromano,Nord-ovest,Lombardia,Mantova,2021-08-16,17,129507
959,satispay,Enoteca,mastercard,156892,Casalromano,Nord-ovest,Lombardia,Mantova,2021-08-17,60,34739
960,contante,Pizzeria,bancomat,73017,Curtatone,Nord-ovest,Lombardia,Mantova,2021-08-18,43,26492
961,buono pasto,Stabilimento Balneare,maestro,913527,Curtatone,Nord-ovest,Lombardia,Mantova,2021-08-19,72,179568
962,maestro,Bar,postepay,691004,Curtatone,Nord-ovest,Lombardia,Mantova,2021-08-20,12,135044
963,mastercard,Pasticceria,satispay,415929,Curtatone,Nord-ovest,Lombardia,Mantova,2021-08-21,79,61196
964,bancomat,Pasticceria,mastercard,234084,Curtatone,Nord-ovest,Lombardia,Mantova,2021-08-22,18,54803
965,carta fedelta,Hotel,buono pasto,449961,Curtatone,Nord-ovest,Lombardia,Mantova,2021-08-23,72,155954
966,visa,Bar,mastercard,16263,Curtatone,Nord-ovest,Lombardia,Mantova,2021-08-24,59,1250
967,postepay,Enoteca,paypal,263356,Curtatone,Nord-ovest,Lombardia,Mantova,2021-08-25,84,42423
968,paypal,Hotel,satispay,967477,Curtatone,Nord-ovest,Lombardia,Mantova,2021-08-26,58,282262
969,satispay,Stabilimento Balneare,maestro,917989,Curtatone,Nord-ovest,Lombardia,Mantova,2021-08-27,75,409132
970,contante,Pizzeria,visa,519665,Goito,Nord-ovest,Lombardia,Mantova,2021-08-28,84,144727
971,buono pasto,Ristorante,mastercard,377460,Goito,Nord-ovest,Lombardia,Mantova,2021-08-29,83,80349
972,maestro,Pizzeria,bancomat,803475,Goito,Nord-ovest,Lombardia,Mantova,2021-08-30,11,185122
973,mastercard,Hotel,bancomat,745623,Goito,Nord-ovest,Lombardia,Mantova,2021-08-31,43,267905
974,bancomat,Pasticceria,maestro,171181,Goito,Nord-ovest,Lombardia,Mantova,2021-09-01,82,55165
975,carta fedelta,Bar,buono pasto,923339,Goito,Nord-ovest,Lombardia,Mantova,2021-09-02,63,445037
976,visa,Ristorante,contante,963201,Goito,Nord-ovest,Lombardia,Mantova,2021-09-03,43,222048
977,postepay,Pasticceria,visa,196552,Goito,Nord-ovest,Lombardia,Mantova,2021-09-04,64,86907
978,paypal,Ristorante,mastercard,976591,Goito,Nord-ovest,Lombardia,Mantova,2021-09-05,54,425974
979,satispay,Stabilimento Balneare,carta fedelta,429431,Goito,Nord-ovest,Lombardia,Mantova,2021-09-06,49,100668
980,contante,Pizzeria,postepay,236439,Piubega,Nord-ovest,Lombardia,Mantova,2021-09-07,44,90043
981,buono pasto,Pizzeria,satispay,679204,Piubega,Nord-ovest,Lombardia,Mantova,2021-09-08,18,143057
982,maestro,Pizzeria,paypal,742733,Piubega,Nord-ovest,Lombardia,Mantova,2021-09-09,84,92088
983,mastercard,Ristorante,buono pasto,928562,Piubega,Nord-ovest,Lombardia,Mantova,2021-09-10,29,441857
984,bancomat,Bar,contante,413811,Piubega,Nord-ovest,Lombardia,Mantova,2021-09-11,78,59208
985,carta fedelta,Ristorante,carta fedelta,687142,Piubega,Nord-ovest,Lombardia,Mantova,2021-09-12,4,45778
986,visa,Bar,maestro,517342,Piubega,Nord-ovest,Lombardia,Mantova,2021-09-13,85,205981
987,postepay,Pizzeria,bancomat,309378,Piubega,Nord-ovest,Lombardia,Mantova,2021-09-14,25,73843
988,paypal,Pasticceria,satispay,885729,Piubega,Nord-ovest,Lombardia,Mantova,2021-09-15,29,373372
989,satispay,Ristorante,paypal,540977,Piubega,Nord-ovest,Lombardia,Mantova,2021-09-16,44,270024
990,contante,Ristorante,mastercard,285247,Mandello del Lario,Nord-ovest,Lombardia,Lecco,2021-09-17,21,100644
991,buono pasto,Ristorante,buono pasto,149640,Mandello del Lario,Nord-ovest,Lombardia,Lecco,2021-09-18,62,72626
992,maestro,Pasticceria,paypal,680337,Mandello del Lario,Nord-ovest,Lombardia,Lecco,2021-09-19,33,122086
993,mastercard,Bar,bancomat,962517,Mandello del Lario,Nord-ovest,Lombardia,Lecco,2021-09-20,99,77740
994,bancomat,Hotel,postepay,107954,Mandello del Lario,Nord-ovest,Lombardia,Lecco,2021-09-21,15,43474
995,carta fedelta,Stabilimento Balneare,mastercard,716539,Mandello del Lario,Nord-ovest,Lombardia,Lecco,2021-09-22,77,48779
996,visa,Pasticceria,satispay,697943,Mandello del Lario,Nord-ovest,Lombardia,Lecco,2021-09-23,62,160077
997,postepay,Pasticceria,postepay,822966,Mandello del Lario,Nord-ovest,Lombardia,Lecco,2021-09-24,54,378651
998,paypal,Pizzeria,paypal,959845,Mandello del Lario,Nord-ovest,Lombardia,Lecco,2021-09-25,17,68312
999,satispay,Hotel,satispay,29323,Mandello del Lario,Nord-ovest,Lombardia,Lecco,2021-09-26,81,5658
1000,contante,Hotel,visa,545570,Cervignano d'Adda,Nord-ovest,Lombardia,Lodi,2021-09-27,47,160651
1001,buono pasto,Hotel,contante,200657,Cervignano d'Adda,Nord-ovest,Lombardia,Lodi,2021-09-28,85,42912
1002,maestro,Pizzeria,mastercard,273559,Cervignano d'Adda,Nord-ovest,Lombardia,Lodi,2021-09-29,58,131570
1003,mastercard,Enoteca,visa,517288,Cervignano d'Adda,Nord-ovest,Lombardia,Lodi,2021-09-30,19,97963
1004,bancomat,Bar,maestro,523312,Cervignano d'Adda,Nord-ovest,Lombardia,Lodi,2021-10-01,77,162492
1005,carta fedelta,Enoteca,satispay,126441,Cervignano d'Adda,Nord-ovest,Lombardia,Lodi,2021-10-02,56,35752
1006,visa,Ristorante,mastercard,557171,Cervignano d'Adda,Nord-ovest,Lombardia,Lodi,2021-10-03,59,234217
1007,postepay,Hotel,postepay,365848,Cervignano d'Adda,Nord-ovest,Lombardia,Lodi,2021-10-04,91,30478
1008,paypal,Ristorante,buono pasto,621311,Cervignano d'Adda,Nord-ovest,Lombardia,Lodi,2021-10-05,32,170404
1009,satispay,Hotel,buono pasto,666720,Cervignano d'Adda,Nord-ovest,Lombardia,Lodi,2021-10-06,35,322504
1010,contante,Ristorante,buono pasto,640544,Guardamiglio,Nord-ovest,Lombardia,Lodi,2021-10-07,98,2434
1011,buono pasto,Pizzeria,mastercard,899410,Guardamiglio,Nord-ovest,Lombardia,Lodi,2021-10-08,91,232302
1012,maestro,Enoteca,buono pasto,2806,Guardamiglio,Nord-ovest,Lombardia,Lodi,2021-10-09,61,1085
1013,mastercard,Pizzeria,paypal,786057,Guardamiglio,Nord-ovest,Lombardia,Lodi,2021-10-10,22,236719
1014,bancomat,Hotel,buono pasto,982691,Guardamiglio,Nord-ovest,Lombardia,Lodi,2021-10-11,3,167146
1015,carta fedelta,Stabilimento Balneare,paypal,257119,Guardamiglio,Nord-ovest,Lombardia,Lodi,2021-10-12,32,48324
1016,visa,Stabilimento Balneare,contante,507330,Guardamiglio,Nord-ovest,Lombardia,Lodi,2021-10-13,52,74313
1017,postepay,Enoteca,mastercard,435423,Guardamiglio,Nord-ovest,Lombardia,Lodi,2021-10-14,32,128730
1018,paypal,Pasticceria,buono pasto,254002,Guardamiglio,Nord-ovest,Lombardia,Lodi,2021-10-15,86,20241
1019,satispay,Pizzeria,paypal,892754,Guardamiglio,Nord-ovest,Lombardia,Lodi,2021-10-16,64,362925
1020,contante,Pizzeria,contante,152650,Mairago,Nord-ovest,Lombardia,Lodi,2021-10-17,10,14334
1021,buono pasto,Pizzeria,maestro,97908,Mairago,Nord-ovest,Lombardia,Lodi,2021-10-18,84,43153
1022,maestro,Pasticceria,satispay,698148,Mairago,Nord-ovest,Lombardia,Lodi,2021-10-19,28,65550
1023,mastercard,Bar,visa,356514,Mairago,Nord-ovest,Lombardia,Lodi,2021-10-20,85,82055
1024,bancomat,Hotel,postepay,997421,Mairago,Nord-ovest,Lombardia,Lodi,2021-10-21,24,165685
1025,carta fedelta,Pizzeria,visa,450311,Mairago,Nord-ovest,Lombardia,Lodi,2021-10-22,38,18289
1026,visa,Enoteca,carta fedelta,370783,Mairago,Nord-ovest,Lombardia,Lodi,2021-10-23,71,52507
1027,postepay,Pasticceria,buono pasto,459421,Mairago,Nord-ovest,Lombardia,Lodi,2021-10-24,62,175255
1028,paypal,Stabilimento Balneare,paypal,330086,Mairago,Nord-ovest,Lombardia,Lodi,2021-10-25,92,43125
1029,satispay,Enoteca,satispay,252783,Mairago,Nord-ovest,Lombardia,Lodi,2021-10-26,51,2002
1030,contante,Pasticceria,paypal,648038,Concorezzo,Nord-ovest,Lombardia,Brianza,2021-10-27,48,235462
1031,buono pasto,Ristorante,carta fedelta,385932,Concorezzo,Nord-ovest,Lombardia,Brianza,2021-10-28,30,20114
1032,maestro,Stabilimento Balneare,buono pasto,78618,Concorezzo,Nord-ovest,Lombardia,Brianza,2021-10-29,55,28592
1033,mastercard,Hotel,maestro,66175,Concorezzo,Nord-ovest,Lombardia,Brianza,2021-10-30,50,4321
1034,bancomat,Hotel,bancomat,938558,Concorezzo,Nord-ovest,Lombardia,Brianza,2021-10-31,81,164998
1035,carta fedelta,Pizzeria,carta fedelta,695685,Concorezzo,Nord-ovest,Lombardia,Brianza,2021-11-01,25,250078
1036,visa,Pizzeria,bancomat,723300,Concorezzo,Nord-ovest,Lombardia,Brianza,2021-11-02,16,246802
1037,postepay,Pizzeria,mastercard,364032,Concorezzo,Nord-ovest,Lombardia,Brianza,2021-11-03,91,106721
1038,paypal,Stabilimento Balneare,carta fedelta,647652,Concorezzo,Nord-ovest,Lombardia,Brianza,2021-11-04,100,152187
1039,satispay,Pasticceria,maestro,101860,Concorezzo,Nord-ovest,Lombardia,Brianza,2021-11-05,89,46936
1040,contante,Enoteca,paypal,791135,Meda,Nord-ovest,Lombardia,Brianza,2021-11-06,23,245246
1041,buono pasto,Stabilimento Balneare,carta fedelta,160114,Meda,Nord-ovest,Lombardia,Brianza,2021-11-07,49,44318
1042,maestro,Ristorante,bancomat,362849,Meda,Nord-ovest,Lombardia,Brianza,2021-11-08,76,43110
1043,mastercard,Pizzeria,paypal,84991,Meda,Nord-ovest,Lombardia,Brianza,2021-11-09,16,16824
1044,bancomat,Ristorante,satispay,80582,Meda,Nord-ovest,Lombardia,Brianza,2021-11-10,86,35250
1045,carta fedelta,Stabilimento Balneare,paypal,324462,Meda,Nord-ovest,Lombardia,Brianza,2021-11-11,38,5957
1046,visa,Bar,maestro,254072,Meda,Nord-ovest,Lombardia,Brianza,2021-11-12,21,84539
1047,postepay,Hotel,postepay,862853,Meda,Nord-ovest,Lombardia,Brianza,2021-11-13,65,268091
1048,paypal,Stabilimento Balneare,maestro,189840,Meda,Nord-ovest,Lombardia,Brianza,2021-11-14,58,73409
1049,satispay,Ristorante,carta fedelta,705691,Meda,Nord-ovest,Lombardia,Brianza,2021-11-15,36,220490
1050,contante,Pizzeria,carta fedelta,716931,Vipiteno,Nord-est,Trentino-Alto Adige/Südtirol,Bolzano,2021-11-16,43,330518
1051,buono pasto,Stabilimento Balneare,bancomat,838899,Vipiteno,Nord-est,Trentino-Alto Adige/Südtirol,Bolzano,2021-11-17,35,64888
1052,maestro,Pizzeria,carta fedelta,389094,Vipiteno,Nord-est,Trentino-Alto Adige/Südtirol,Bolzano,2021-11-18,48,80524
1053,mastercard,Ristorante,buono pasto,744841,Vipiteno,Nord-est,Trentino-Alto Adige/Südtirol,Bolzano,2021-11-19,89,180315
1054,bancomat,Enoteca,buono pasto,740817,Vipiteno,Nord-est,Trentino-Alto Adige/Südtirol,Bolzano,2021-11-20,92,213687
1055,carta fedelta,Ristorante,visa,360083,Vipiteno,Nord-est,Trentino-Alto Adige/Südtirol,Bolzano,2021-11-21,100,149018
1056,visa,Stabilimento Balneare,satispay,699842,Vipiteno,Nord-est,Trentino-Alto Adige/Südtirol,Bolzano,2021-11-22,3,135528
